iteration,validation_auc,beats_human_baseline_test_auc,params_str,applied_params_str
1,0.7158647594278283,False,"{""n_estimators"": 1200, ""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""bootstrap"": true, ""class_weight"": ""balanced""}","{""n_estimators"": 1200, ""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""log2"", ""class_weight"": ""balanced""}"
2,0.7736730109942074,True,"{""n_estimators"": 1500, ""max_depth"": 25, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1500, ""max_depth"": 25, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
3,0.7214209717460693,False,"{""n_estimators"": 1600, ""max_depth"": 30, ""min_samples_split"": 3, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1600, ""max_depth"": 30, ""min_samples_split"": 3, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
4,0.7714268826102376,True,"{""n_estimators"": 1700, ""max_depth"": 25, ""min_samples_split"": 3, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1700, ""max_depth"": 25, ""min_samples_split"": 3, ""min_samples_leaf"": 2, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
5,0.7095401347677031,False,"{""n_estimators"": 1800, ""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1800, ""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""log2"", ""class_weight"": ""balanced_subsample""}"
6,0.7127320014186074,False,"{""n_estimators"": 1750, ""max_depth"": 22, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1750, ""max_depth"": 22, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
7,0.7125546754935571,False,"{""n_estimators"": 1600, ""max_depth"": 30, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1600, ""max_depth"": 30, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
8,0.7185837569452654,False,"{""n_estimators"": 2000, ""max_depth"": 25, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 2000, ""max_depth"": 25, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
9,0.6962406903889348,False,"{""n_estimators"": 1200, ""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1200, ""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""log2"", ""class_weight"": ""balanced_subsample""}"
10,0.7696536233597351,True,"{""n_estimators"": 1800, ""max_depth"": 15, ""min_samples_split"": 3, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1800, ""max_depth"": 15, ""min_samples_split"": 3, ""min_samples_leaf"": 2, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
