iteration,validation_auc,beats_human_baseline_test_auc,params_str,applied_params_str
1,0.7633961911874534,False,"{""n_estimators"": 1500, ""max_depth"": 20, ""min_samples_split"": 3, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1500, ""max_depth"": 20, ""min_samples_split"": 3, ""min_samples_leaf"": 2, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
2,0.7518048294747325,False,"{""n_estimators"": 1200, ""max_depth"": 25, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""bootstrap"": true, ""class_weight"": ""balanced""}","{""n_estimators"": 1200, ""max_depth"": 25, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""log2"", ""class_weight"": ""balanced""}"
3,0.7525205377147125,False,"{""n_estimators"": 2000, ""max_depth"": 30, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 2000, ""max_depth"": 30, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
4,0.7585107045058501,False,"{""n_estimators"": 1300, ""max_depth"": 15, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1300, ""max_depth"": 15, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
5,0.7633961911874534,False,"{""n_estimators"": 1500, ""max_depth"": 20, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1500, ""max_depth"": 20, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
6,0.7458302215583769,False,"{""n_estimators"": 1200, ""max_depth"": 25, ""min_samples_split"": 3, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1200, ""max_depth"": 25, ""min_samples_split"": 3, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""log2"", ""class_weight"": ""balanced_subsample""}"
7,0.7590163679362709,False,"{""n_estimators"": 1600, ""max_depth"": 30, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1600, ""max_depth"": 30, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
8,0.7584095718197661,False,"{""n_estimators"": 1300, ""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1300, ""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""log2"", ""class_weight"": ""balanced_subsample""}"
9,0.7626182474483445,False,"{""n_estimators"": 1400, ""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1400, ""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
10,0.7615446850883745,False,"{""n_estimators"": 1200, ""max_depth"": 25, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true, ""class_weight"": ""balanced_subsample""}","{""n_estimators"": 1200, ""max_depth"": 25, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""bootstrap"": true, ""random_state"": 666, ""n_jobs"": -1, ""oob_score"": false, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}"
