feature,importance
lnlrgdpcap,0.20240391011683734
lv2x_polyarchy,0.1700933518543346
lnltotpop,0.13609036342450134
t_escal,0.11793812738052005
mounterr,0.09363963305293765
groupsize,0.08405692682455529
numb_rel_grps,0.06982142997459746
coldwar_1,0.02375274564351612
status_excl_1.0,0.02239360383535869
noncontiguous_1.0,0.015841536726650125
lost_autonomy_1.0,0.014950563390871682
regaut_1.0,0.014589000632689598
lsepkin_adjregbase1,0.01087124041938256
lfederal_1,0.010417268449358837
lgiantoilfield_1.0,0.008447567701507612
downgr2_aut_1.0,0.004692730572381099
