feature,importance
lnltotpop,0.16993148389015603
lnlrgdpcap,0.1511524163194687
lv2x_polyarchy,0.14528597577176117
t_claim,0.12157584842831909
groupsize,0.09548446171702428
mounterr,0.08531018311270538
numb_rel_grps,0.07631812027175303
status_excl_1.0,0.03348885975439827
lost_autonomy_1.0,0.030136197676248273
lfederal_1,0.019747275978484698
lsepkin_adjregbase1,0.015265001756184251
coldwar_1,0.012815883821215986
downgr2_aut_1.0,0.0127302613420647
regaut_1.0,0.011873749824087221
lgiantoilfield_1.0,0.010300783714097907
noncontiguous_1.0,0.008583496622031101
