feature,importance
lnlrgdpcap,0.16697170386255697
lnltotpop,0.1328430741749816
lv2x_polyarchy,0.13086702561906538
t_escal,0.10745122218785064
groupsize,0.10486843368975528
mounterr,0.09000445800541941
numb_rel_grps,0.08120772000214442
status_excl_1.0,0.039433538643325355
regaut_1.0,0.036923363404093246
coldwar_1,0.03400240348701493
lost_autonomy_1.0,0.015117226050407826
lgiantoilfield_1.0,0.014052797375821765
lfederal_1,0.013806035680375006
lsepkin_adjregbase1,0.013214236895350163
noncontiguous_1.0,0.009653879105108513
downgr2_aut_1.0,0.009582881816729626
