feature,importance
lnltotpop,0.19422712411803122
lnlrgdpcap,0.15933110252086294
lv2x_polyarchy,0.15115546932374982
t_claim,0.11304050982650765
groupsize,0.09343237435939353
mounterr,0.0872469230565658
numb_rel_grps,0.0781208592309688
status_excl_1.0,0.0336733345816785
lost_autonomy_1.0,0.01967677211194884
downgr2_aut_1.0,0.016495708540529876
lsepkin_adjregbase1,0.012696269165461084
regaut_1.0,0.011209755922869385
lgiantoilfield_1.0,0.010799762867632625
coldwar_1,0.009087486287148533
lfederal_1,0.006057480628606521
noncontiguous_1.0,0.0037490674580449054
