feature,importance
lnlrgdpcap,0.18182497563150218
lv2x_polyarchy,0.1547104001459779
lnltotpop,0.14959633959568558
t_claim,0.12294707937672063
mounterr,0.07699158857456415
groupsize,0.07668376267070787
numb_rel_grps,0.06943323221441075
status_excl_1.0,0.05100886536817357
lost_autonomy_1.0,0.025619416127609745
lsepkin_adjregbase1,0.01888308521320884
lfederal_1,0.018721021810591237
coldwar_1,0.013180220695823568
regaut_1.0,0.013033979837590682
downgr2_aut_1.0,0.011635402649199742
lgiantoilfield_1.0,0.01138430961007345
noncontiguous_1.0,0.0043463204781600895
